smiles,identifier,P_TR,PS,rank
COC1=CC=C(CN2[C@@H]3CNC[C@@H]3OCCS2(=O)=O)C=C1,CNP0483109.1,0.006293091922998428,0.0053805935941636535,2517
O=C(COC1=CC=C(Cl)C=C1)NC1=CC=CC=C1C(=O)O,CNP0558955.0,0.006272327620536089,0.005362840115558358,2518
COC1=CC=CC(CN2CCN3C(=O)NC[C@H]3C2)=N1,CNP0013873.1,0.006269590463489294,0.0053604998462833476,2519
CC(=O)N1CC[C@H](C2=NN=C(C3=CC=C(Cl)C=C3)O2)C1,CNP0014025.1,0.006262268405407667,0.005354239486623554,2520
C[C@@]1(CO)CN(CC2=CC=CC=C2)C[C@@H]2CN(CC3=CC=CN=C3)CCN21,CNP0017106.1,0.006258338689804077,0.005350879579782485,2521
COC1=CC=C(C(=O)O)C(NC(=O)C2=CC=CC=C2)=C1,CNP0147755.0,0.00624863663688302,0.0053425843245349805,2522
O=C1N(C2=CC=CC=N2)C[C@H]2CN(CC3=CC=CC=C3)CCN12,CNP0326939.1,0.0062423329800367355,0.005337194697931409,2523
CO[C@H]1COCCN(CC2=CN=C3C=CC=CC3=C2)C1,CNP0005338.1,0.006229635328054428,0.005326338205486536,2524
CC(C)C(=O)N1C[C@@H]2C[C@@H](O)CN2C2(CN(CC3=CN=C4C=CC=CC4=C3)C2)C1,CNP0059798.1,0.006226185243576765,0.0053233883832581345,2525
O=C1C=CC=C2[C@H]3CC(CN(CC(O)CSCC4=CC=CC=C4)C3)CN21,CNP0240629.2,0.006216992624104023,0.005315528693608941,2526
ClC1=CC=CC(C2=CNC([C@@H]3COCCN3)=N2)=C1,CNP0073977.1,0.00621544336900115,0.005314204080495983,2527
COC1=CC2=C(C=C1OC)CN(C(=O)NCC1=CC=CC=C1)CC2,CNP0331260.0,0.006184042897075415,0.005287356676999481,2528
O=C(NC1=CC=CC=C1)N1C[C@H]2C[C@@H](C1)C1=CC=CC(=O)N1C2,CNP0348302.1,0.006178152281790972,0.0052823202009312795,2529
CC1=CC=CC(CN2CCC3(CC2)N=C(C2=CC=CC(Cl)=C2)C(=O)N3)=C1,CNP0506346.0,0.006149468012154102,0.005257795150391757,2530
O=S1(=O)N[C@@H]2CN(CC3=CC=CC=C3)C[C@@H]2OC2=NC=CC=C21,CNP0026471.1,0.006138848140835762,0.005248715160414574,2531
O=C(O)C1=CC=C(CN2CCN3C(=O)N(CC4=CC=CC=C4)C[C@H]3C2)C=C1,CNP0197227.1,0.006126981228590012,0.005238568950444461,2532
O=C(NC1=CC(C2CC2)=NN1)C1=CC=CC=C1,CNP0534930.0,0.006097674835473299,0.005213511984329673,2533
CN(CC1=CC=CC=C1)CC1=CC(CC2(N)COC2)=NO1,CNP0239674.0,0.006093624513596296,0.005210048959124833,2534
COC1=CC=C([C@H]2C(O)C(O)C(C)N2C)C=C1OC,CNP0297471.4,0.0060898857191205025,0.005206852289848031,2535
